case,suite,network_name,bounds_label,neurons_label,pair_group,plot_label,runtime_ms,memory_delta_kb,containment_pass,containment_ratio,sample_point_containment_ratio,avg_bound_width,avg_sample_width,avg_tightness_ratio,polygon_area,sample_hull_area,polygon_over_hull_area_ratio,min_slack,avg_slack,sample_metric_outputs,bounded_directions,checked_directions
NN1_B1_BoxIBP,bounds_variation_l0n0_l0n1,NN1,B1.csv,"(0, 0) & (0, 1)",,"NN1
B1.csv",154.212,14812,True,1.0,1.0,0.634573,0.620163,0.978108,0.25,0.245809,1.017051,0.0,0.007205,5,16,16
NN1_B2_BoxIBP,bounds_variation_l0n0_l0n1,NN1,B2.vnnlib,"(0, 0) & (0, 1)",,"NN1
B2.vnnlib",142.581,0,True,1.0,1.0,1.903719,1.886734,0.991193,2.0,1.984733,1.007692,0.0,0.008493,5,16,16
NN1_UnitBox_BoxIBP,bounds_variation_l0n0_l0n1,NN1,"[0,1]^n","(0, 0) & (0, 1)",,"NN1
[0,1]^n",151.805,0,True,1.0,1.0,1.269146,1.243883,0.980795,1.0,0.991009,1.009073,3e-06,0.012632,5,16,16
IR11_1_B1_BoxIBP,bounds_variation_l0n0_l0n1,IR11_1,B1.csv,"(0, 0) & (0, 1)",,"IR11_1
B1.csv",0.589,0,True,1.0,1.0,0.634573,0.62094,0.979185,0.25,0.244282,1.023406,0.0,0.006816,2,16,16
IR11_1_B2_BoxIBP,bounds_variation_l0n0_l0n1,IR11_1,B2.vnnlib,"(0, 0) & (0, 1)",,"IR11_1
B2.vnnlib",0.631,0,True,1.0,1.0,1.903719,1.871434,0.98305,2.0,1.974488,1.012921,0.0,0.016143,2,16,16
IR11_1_UnitBox_BoxIBP,bounds_variation_l0n0_l0n1,IR11_1,"[0,1]^n","(0, 0) & (0, 1)",,"IR11_1
[0,1]^n",0.552,0,True,1.0,1.0,1.269146,1.217071,0.960482,1.0,0.979898,1.020514,0.00021,0.026038,2,16,16
IR11_2_B1Repeat_BoxIBP,bounds_variation_l0n0_l0n1,IR11_2,B1-repeat,"(0, 0) & (0, 1)",,"IR11_2
B1-repeat",8.934,0,True,1.0,1.0,0.634573,0.620843,0.978997,0.25,0.244679,1.021746,0.0,0.006865,3,16,16
IR11_2_B2Repeat_BoxIBP,bounds_variation_l0n0_l0n1,IR11_2,B2-repeat,"(0, 0) & (0, 1)",,"IR11_2
B2-repeat",9.959,0,True,1.0,1.0,1.903719,1.874983,0.985239,2.0,1.97691,1.01168,0.0,0.014368,3,16,16
IR11_2_UnitBox_BoxIBP,bounds_variation_l0n0_l0n1,IR11_2,"[0,1]^n","(0, 0) & (0, 1)",,"IR11_2
[0,1]^n",8.986,0,True,1.0,1.0,1.269146,1.228976,0.969331,1.0,0.97975,1.020669,0.000237,0.020085,3,16,16
