case,suite,network_name,bounds_label,neurons_label,pair_group,plot_label,runtime_ms,memory_delta_kb,containment_pass,containment_ratio,sample_point_containment_ratio,avg_bound_width,avg_sample_width,avg_tightness_ratio,polygon_area,sample_hull_area,polygon_over_hull_area_ratio,min_slack,avg_slack,sample_metric_outputs,bounded_directions,checked_directions
NN1_B1_BoxIBP,bounds_variation_l0n0_l1n0,NN1,B1.csv,"(0, 0) & (1, 0)",,"NN1
B1.csv",153.305,1412,False,0.1875,0.5125,0.686437,0.734976,1.093299,0.290865,0.173425,1.677177,-0.499917,-0.024269,5,3,16
NN1_B2_BoxIBP,bounds_variation_l0n0_l1n0,NN1,B2.vnnlib,"(0, 0) & (1, 0)",,"NN1
B2.vnnlib",147.146,0,True,1.0,1.0,3.1116,2.678002,0.868652,3.903454,3.206499,1.217357,0.0,0.216799,5,16,16
NN1_UnitBox_BoxIBP,bounds_variation_l0n0_l1n0,NN1,"[0,1]^n","(0, 0) & (1, 0)",,"NN1
[0,1]^n",146.642,0,True,1.0,1.0,1.406613,1.263948,0.902388,1.216628,1.006858,1.208341,0.0,0.071332,5,16,16
IR11_1_B1_BoxIBP,bounds_variation_l0n0_l1n0,IR11_1,B1.csv,"(0, 0) & (1, 0)",,"IR11_1
B1.csv",0.598,0,False,0.0625,0.508,0.317287,0.632489,1.993431,0.0,0.0,,-0.498611,-0.157601,2,1,16
IR11_1_B2_BoxIBP,bounds_variation_l0n0_l1n0,IR11_1,B2.vnnlib,"(0, 0) & (1, 0)",,"IR11_1
B2.vnnlib",0.569,0,True,1.0,1.0,1.314432,1.035815,0.796394,1.071364,0.558591,1.917975,0.0,0.139309,2,16,16
IR11_1_UnitBox_BoxIBP,bounds_variation_l0n0_l1n0,IR11_1,"[0,1]^n","(0, 0) & (1, 0)",,"IR11_1
[0,1]^n",0.564,0,True,1.0,1.0,0.736882,0.640491,0.811522,0.161225,0.032036,5.032613,0.0,0.048196,2,16,16
IR11_2_B1Repeat_BoxIBP,bounds_variation_l0n0_l1n0,IR11_2,B1-repeat,"(0, 0) & (1, 0)",,"IR11_2
B1-repeat",8.005,0,True,1.0,1.0,42.79276,9.033953,0.262082,33.467757,6.622955,5.053297,0.0,16.879403,3,16,16
IR11_2_B2Repeat_BoxIBP,bounds_variation_l0n0_l1n0,IR11_2,B2-repeat,"(0, 0) & (1, 0)",,"IR11_2
B2-repeat",7.046,0,True,1.0,1.0,75.427645,25.108681,0.375776,117.863608,37.15357,3.172336,0.0,25.159482,3,16,16
IR11_2_UnitBox_BoxIBP,bounds_variation_l0n0_l1n0,IR11_2,"[0,1]^n","(0, 0) & (1, 0)",,"IR11_2
[0,1]^n",6.838,0,True,1.0,1.0,46.112874,6.137929,0.189842,71.667553,7.572868,9.463726,0.0,19.987473,3,16,16
